EMPLOYEE ATTENDANCE & SALARY SUMMARY REPORT
=======================================================

Name           Attendance %   Total Salary   Status
-------------------------------------------------------
Divya Kumar    69.23          Rs.43674.0     Below Threshold
Karthik Verma  46.15          Rs.53026.0     Below Threshold
Ravi Rao       65.38          Rs.58118.0     Below Threshold
Neha Menon     88.46          Rs.44696.0     OK
Vishal Raj     57.69          Rs.56446.0     Below Threshold
Vikram Iyer    76.92          Rs.32448.0     OK
Manoj Rao      80.77          Rs.42710.0     OK
Sanjay Gupta   84.62          Rs.33539.0     OK
Swathi Joshi   61.54          Rs.29933.0     Below Threshold
Meena Pillai   46.15          Rs.41381.0     Below Threshold
Manoj Raj      80.77          Rs.39784.0     OK
Kavya Menon    69.23          Rs.31554.0     Below Threshold
Neha Verma     57.69          Rs.59794.0     Below Threshold
Vikram Singh   65.38          Rs.46627.0     Below Threshold
Meena Joshi    76.92          Rs.54290.0     OK
Suresh Menon   76.92          Rs.44559.0     OK
Manoj Singh    53.85          Rs.43859.0     Below Threshold
Meena Verma    69.23          Rs.57577.0     Below Threshold
Kavya Menon    100.0          Rs.58093.0     OK
Anita Joshi    53.85          Rs.40359.0     Below Threshold
Swathi Rao     84.62          Rs.58674.0     OK
Neha Joshi     50.0           Rs.46236.0     Below Threshold
Divya Raj      57.69          Rs.54735.0     Below Threshold
Vikram Gupta   100.0          Rs.35348.0     OK
Ajay Patel     53.85          Rs.51379.0     Below Threshold
Neha Pillai    38.46          Rs.51868.0     Below Threshold
Ravi Rao       73.08          Rs.41067.0     Below Threshold
Meena Patel    46.15          Rs.57599.0     Below Threshold
Neha Pillai    53.85          Rs.58023.0     Below Threshold
Vikram Gupta   88.46          Rs.41130.0     OK
Sneha Reddy    80.77          Rs.58961.0     OK
Divya Menon    46.15          Rs.47156.0     Below Threshold
Vishal Gupta   65.38          Rs.26221.0     Below Threshold
Anita Menon    42.31          Rs.47404.0     Below Threshold
Ajay Menon     96.15          Rs.40540.0     OK
Vishal Patel   65.38          Rs.60871.0     Below Threshold
Arjun Rao      88.46          Rs.53094.0     OK
Deepa Nair     42.31          Rs.31824.0     Below Threshold
Manoj Verma    50.0           Rs.43545.0     Below Threshold
Arjun Gupta    53.85          Rs.54523.0     Below Threshold
Vikram Nair    46.15          Rs.55166.0     Below Threshold
Anita Singh    38.46          Rs.33737.0     Below Threshold
Priya Reddy    96.15          Rs.43508.0     OK
Anita Iyer     38.46          Rs.53586.0     Below Threshold
Sanjay Raj     96.15          Rs.37394.0     OK
Sneha Menon    42.31          Rs.45927.0     Below Threshold
Anita Patel    100.0          Rs.61682.0     OK
Anita Gupta    57.69          Rs.30240.0     Below Threshold
Meena Reddy    65.38          Rs.28354.0     Below Threshold
Deepa Singh    100.0          Rs.48733.0     OK
Arjun Singh    76.92          Rs.43642.0     OK
Manoj Iyer     73.08          Rs.58714.0     Below Threshold
Suresh Kumar   50.0           Rs.32051.0     Below Threshold
Ajay Raj       80.77          Rs.32133.0     OK
Kavya Raj      92.31          Rs.44825.0     OK
Neha Raj       50.0           Rs.36800.0     Below Threshold
Divya Rao      53.85          Rs.46223.0     Below Threshold
Swathi Menon   76.92          Rs.41342.0     OK
Ajay Nair      42.31          Rs.35923.0     Below Threshold
Vikram Kumar   76.92          Rs.36573.0     OK
Priya Verma    88.46          Rs.26758.0     OK
Suresh Verma   42.31          Rs.50696.0     Below Threshold
Deepa Iyer     73.08          Rs.49272.0     Below Threshold
Kavya Menon    65.38          Rs.35861.0     Below Threshold
Neha Joshi     53.85          Rs.42389.0     Below Threshold
Priya Reddy    57.69          Rs.51645.0     Below Threshold
Meena Raj      50.0           Rs.50445.0     Below Threshold
Pooja Menon    92.31          Rs.51290.0     OK
Meena Menon    61.54          Rs.54863.0     Below Threshold
Vikram Joshi   69.23          Rs.52512.0     Below Threshold
Neha Sharma    50.0           Rs.43993.0     Below Threshold
Vishal Raj     50.0           Rs.57604.0     Below Threshold
Rohan Reddy    100.0          Rs.37078.0     OK
Vishal Menon   42.31          Rs.53577.0     Below Threshold
Ajay Pillai    61.54          Rs.53744.0     Below Threshold
Suresh Singh   76.92          Rs.36542.0     OK
Ajay Raj       88.46          Rs.50876.0     OK
Sneha Gupta    61.54          Rs.57054.0     Below Threshold
Priya Patel    73.08          Rs.51612.0     Below Threshold
Sneha Raj      88.46          Rs.51368.0     OK
Sanjay Nair    61.54          Rs.64125.0     Below Threshold
Priya Singh    73.08          Rs.62530.0     Below Threshold
Suresh Joshi   73.08          Rs.41972.0     Below Threshold
Karthik Kumar  65.38          Rs.56888.0     Below Threshold
Sanjay Reddy   61.54          Rs.55789.0     Below Threshold
Manoj Menon    38.46          Rs.36860.0     Below Threshold
Meena Iyer     100.0          Rs.55819.0     OK
Neha Menon     92.31          Rs.38988.0     OK
Ajay Gupta     76.92          Rs.58879.0     OK
Neha Nair      96.15          Rs.57495.0     OK
Meena Joshi    69.23          Rs.64788.0     Below Threshold
Meena Raj      46.15          Rs.46350.0     Below Threshold
Vikram Sharma  46.15          Rs.35568.0     Below Threshold
